id_ps,ps,level,faculty,year,current_students,next_year_students,current_students_lag1
70101,Magister Ilmu Komunikasi,S-2,ISIPOL,2020,54.0,68.0,76.0
95129,Magister Ilmu Lingkungan,S-2,Pascasarjana,2020,74.0,64.0,75.0
11109,Magister Ilmu Pendidikan Kedokteran dan Kesehatan,S-2,KKMK,2020,16.0,16.0,9.0
54146,Magister Ilmu Perikanan,S-2,Pertanian,2020,12.0,16.0,13.0
54131,Magister Ilmu Peternakan,S-2,Peternakan,2020,50.0,60.0,55.0
54105,Magister Ilmu Tanah,S-2,Pertanian,2020,18.0,20.0,23.0
95127,Magister Kajian Budaya dan Media,S-2,Pascasarjana,2020,30.0,22.0,37.0
95124,Magister Kajian Budaya Timur Tengah,S-2,Ilmu Budaya,2020,18.0,15.0,0.0
95104,Magister Kajian Pariwisata,S-2,Pascasarjana,2020,43.0,28.0,32.0
13163,Magister Kebijakan dan Manajemen Kesehatan,S-2,KKMK,2020,0.0,102.0,0.0
74102,Magister Kenotariatan,S-2,Hukum,2020,135.0,103.0,161.0
95107,Magister Kepemimpinan dan Inovasi Kebijakan (Magister Studi Kebijakan),S-2,Pascasarjana,2020,64.0,48.0,41.0
95102,Magister Kependudukan,S-2,Pascasarjana,2020,19.0,2.0,14.0
14101,Magister Keperawatan,S-2,KKMK,2020,41.0,44.0,30.0
95128,Magister Ketahanan Nasional,S-2,Pascasarjana,2020,36.0,30.0,33.0
47101,Magister Kimia,S-2,MIPA,2020,66.0,36.0,51.0
79102,Magister Linguistik,S-2,Ilmu Budaya,2020,60.0,79.0,51.0
61101,Magister Manajemen,S-2,Ekonomika dan Bisnis,2020,387.0,359.0,345.0
61171,Magister Manajemen (Kampus Jakarta),S-2,Ekonomika dan Bisnis,2020,409.0,382.0,430.0
54101,Magister Manajemen Agribisnis,S-2,Pertanian,2020,32.0,33.0,26.0
61104,Magister Manajemen Bencana,S-2,Pascasarjana,2020,16.0,10.0,10.0
63101,Magister Manajemen dan Kebijakan Publik,S-2,ISIPOL,2020,42.0,68.0,43.0
48105,Magister Manajemen Farmasi,S-2,Farmasi,2020,18.0,33.0,13.0
86105,Magister Manajemen Pendidikan Tinggi,S-2,Pascasarjana,2020,18.0,10.0,20.0
44101,Magister Matematika,S-2,MIPA,2020,47.0,23.0,37.0
86102,Magister Pembangunan Sosial dan Kesejahteraan,S-2,ISIPOL,2020,41.0,29.0,31.0
54107,Magister Pemuliaan Tanaman,S-2,Pertanian,2020,9.0,7.0,4.0
51111,Magister Penginderaan Jauh,S-2,Geografi,2020,17.0,8.0,14.0
95121,Magister Pengkajian Amerika,S-2,Ilmu Budaya,2020,12.0,14.0,25.0
91101,Magister Pengkajian Seni Pertunjukan dan Seni Rupa,S-2,Pascasarjana,2020,18.0,17.0,33.0
54103,Magister Penyuluhan dan Komunikasi Pembangunan,S-2,Pascasarjana,2020,24.0,24.0,19.0
95103,Magister Perencanaan Wilayah dan Kota,S-2,Teknik,2020,68.0,56.0,54.0
67101,Magister Politik dan Pemerintahan,S-2,ISIPOL,2020,27.0,17.0,32.0
73101,Magister Psikologi,S-2,Psikologi,2020,57.0,54.0,64.0
73103,Magister Psikologi Profesi,S-2,Psikologi,2020,99.0,101.0,98.0
35102,Magister Rancang Kota,S-2,Teknik,2020,0.0,10.0,0.0
62101,Magister Sains Akuntansi,S-2,Ekonomika dan Bisnis,2020,30.0,25.0,51.0
60101,Magister Sains Ilmu Ekonomi,S-2,Ekonomika dan Bisnis,2020,26.0,12.0,24.0
61102,Magister Sains Manajemen,S-2,Ekonomika dan Bisnis,2020,30.0,38.0,40.0
54162,Magister Sains Veteriner,S-2,Kedokteran Hewan,2020,22.0,52.0,34.0
79101,Magister Sastra,S-2,Ilmu Budaya,2020,35.0,57.0,59.0
80101,Magister Sejarah,S-2,Ilmu Budaya,2020,23.0,21.0,16.0
22102,Magister Sistem dan Teknik Transportasi,S-2,Teknik,2020,40.0,41.0,38.0
69101,Magister Sosiologi,S-2,ISIPOL,2020,44.0,18.0,39.0
11123,Magister Teknik Biomedis,S-2,Pascasarjana,2020,8.0,3.0,0.0
20101,Magister Teknik Elektro,S-2,Teknik,2020,42.0,35.0,36.0
30101,Magister Teknik Fisika,S-2,Teknik,2020,12.0,10.0,9.0
34101,Magister Teknik Geologi,S-2,Teknik,2020,62.0,54.0,25.0
29101,Magister Teknik Geomatika,S-2,Teknik,2020,13.0,20.0,19.0
26101,Magister Teknik Industri,S-2,Teknik,2020,40.0,39.0,37.0
24101,Magister Teknik Kimia,S-2,Teknik,2020,61.0,51.0,55.0
21101,Magister Teknik Mesin,S-2,Teknik,2020,48.0,29.0,42.0
22105,Magister Teknik Pengelolaan Bencana Alam,S-2,Teknik,2020,21.0,25.0,4.0
41101,Magister Teknik Pertanian,S-2,Teknologi Pertanian,2020,14.0,19.0,7.0
22101,Magister Teknik Sipil,S-2,Teknik,2020,71.0,53.0,87.0
